chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
QS,2021-01-29,45.0000,put,sell,2021-01-25T16:13:56.521057Z,credit,1.00000,limit,short_put,,1.75000000,1.00000
BB,2021-02-05,12.5000,put,sell,2021-01-25T14:54:43.662983Z,credit,1.00000,limit,short_put,,1.04000000,1.00000
BB,2021-01-29,14.0000,put,sell,2021-01-25T14:42:22.141027Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
BB,2021-01-29,14.0000,put,sell,2021-01-25T14:39:04.539712Z,credit,1.00000,limit,short_put,,0.61000000,1.00000
PLTR,2021-01-29,25.0000,put,buy,2021-01-25T14:32:56.508749Z,debit,1.00000,limit,,short_put,0.07000000,1.00000
AMC,2021-02-05,2.0000,put,sell,2021-01-22T17:49:49.079893Z,credit,10.00000,limit,short_put,,0.05000000,10.00000
FUBO,2021-01-29,30.0000,put,sell,2021-01-21T15:20:24.525158Z,credit,1.00000,limit,short_put,,1.16000000,1.00000
FUBO,2021-01-22,30.0000,put,buy,2021-01-21T15:17:40.489188Z,debit,2.00000,limit,,short_put,0.17000000,2.00000
FUBO,2021-01-22,30.0000,put,sell,2021-01-20T14:44:57.002118Z,credit,2.00000,limit,short_put,,1.01000000,2.00000
AMC,2021-01-22,2.5000,put,sell,2021-01-19T16:15:54.577933Z,credit,5.00000,limit,short_put,,0.09000000,5.00000
PLTR,2021-01-29,25.0000,put,sell,2021-01-19T15:18:46.877462Z,credit,1.00000,limit,short_put,,1.04000000,1.00000
CRSR,2021-02-19,35.0000,put,sell,2021-01-17T22:23:05.785706Z,credit,1.00000,limit,short_put,,3.30000000,1.00000
GME,2021-01-15,23.5000,put,sell,2021-01-14T15:12:15.265873Z,credit,1.00000,limit,short_put,,0.21000000,1.00000
GME,2021-01-15,26.0000,put,sell,2021-01-14T15:08:25.855819Z,credit,1.00000,limit,short_put,,0.48000000,1.00000
TWTR,2021-01-15,47.0000,put,buy,2021-01-14T15:05:16.222618Z,debit,1.00000,limit,,short_put,0.71000000,1.00000
AMC,2021-01-22,2.0000,put,sell,2021-01-14T14:39:32.122292Z,credit,5.00000,limit,short_put,,0.10000000,5.00000
BLNK,2021-01-15,42.5000,put,sell,2021-01-13T14:44:06.407199Z,credit,1.00000,limit,short_put,,0.55000000,1.00000
CRSR,2021-01-15,35.0000,put,buy,2021-01-13T14:42:45.801695Z,debit,1.00000,limit,,short_put,0.06000000,1.00000
PLUG,2021-01-15,56.0000,call,buy,2021-01-11T17:14:13.321843Z,credit,1.00000,limit,,long_call_spread,2.06000000,1.00000
PLUG,2021-01-15,51.0000,call,sell,2021-01-11T17:14:13.321843Z,credit,1.00000,limit,,long_call_spread,2.06000000,1.00000
