ref_id,chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
8F8542DB-4437-402F-87F6-C60A35C26431,NFLX,2021-01-15,530.0000,call,buy,2021-01-07T14:33:41.684753Z,credit,2.00000,limit,,long_call_spread,1.38000000,2.00000
DAC816AE-E428-4E6F-8733-6CB318F06145,NFLX,2021-01-15,530.0000,call,sell,2021-01-06T20:54:40.710123Z,debit,1.00000,limit,long_call_spread,,1.04000000,1.00000
DAC816AE-E428-4E6F-8733-6CB318F06145,NFLX,2021-01-15,525.0000,call,buy,2021-01-06T20:54:40.710123Z,debit,1.00000,limit,long_call_spread,,1.04000000,1.00000
A91ACE71-AF56-44C0-829B-F1630927248A,NFLX,2021-01-15,530.0000,call,sell,2021-01-06T19:33:23.108083Z,debit,1.00000,limit,long_call_spread,,1.20000000,1.00000
A91ACE71-AF56-44C0-829B-F1630927248A,NFLX,2021-01-15,525.0000,call,buy,2021-01-06T19:33:23.108083Z,debit,1.00000,limit,long_call_spread,,1.20000000,1.00000
981B8ECC-C842-4114-B11B-ED5C821AFF7C,PLTR,2021-01-08,29.0000,call,sell,2021-01-04T16:15:57.350283Z,credit,1.00000,limit,,long_call,0.09000000,1.00000
62FC9276-211E-4787-8ACD-9EB13FB400C2,DKNG,2021-01-15,60.0000,call,sell,2021-01-04T16:13:08.922873Z,credit,2.00000,limit,,long_call,0.13000000,2.00000
C331F3C2-68A2-4E74-9BA0-0330BD6B7512,BA,2021-01-15,222.5000,call,buy,2021-01-04T16:10:45.513174Z,credit,1.00000,limit,,long_call_spread,0.39000000,1.00000
C331F3C2-68A2-4E74-9BA0-0330BD6B7512,BA,2021-01-15,220.0000,call,sell,2021-01-04T16:10:45.513174Z,credit,1.00000,limit,,long_call_spread,0.39000000,1.00000
3056C0E1-05CB-4D3F-B70D-82E121A6520F,FB,2021-01-15,277.5000,call,buy,2021-01-04T15:04:38.130546Z,credit,2.00000,limit,,long_call_spread,0.90000000,2.00000
3056C0E1-05CB-4D3F-B70D-82E121A6520F,FB,2021-01-15,275.0000,call,sell,2021-01-04T15:04:38.130546Z,credit,2.00000,limit,,long_call_spread,0.90000000,2.00000
48B7B70C-E185-4E76-9CDE-4F74E7F97BDF,DKNG,2021-01-29,48.0000,call,sell,2021-01-04T14:18:37.322306Z,credit,1.00000,limit,short_call,,3.05000000,1.00000
64FEB50A-7AED-4219-B9A8-603FDA959487,RKT,2021-01-15,22.0000,call,sell,2020-12-31T20:54:14.130322Z,credit,1.00000,limit,,long_call,0.29000000,1.00000
15B2DD9E-74F9-49A0-9D3C-41EB1CA04529,PLTR,2021-01-22,40.0000,call,sell,2020-12-31T20:52:14.002973Z,credit,1.00000,limit,,long_call,0.12000000,1.00000
2A323B45-1812-40E0-BB85-53B85398C72F,BABA,2021-01-15,280.0000,call,sell,2020-12-31T20:51:42.539036Z,credit,1.00000,limit,,long_call,0.21000000,1.00000
4AA340F0-62DC-4E1D-ABBD-0099507EAD97,NIO,2021-01-15,46.0000,call,buy,2020-12-31T19:02:51.082127Z,credit,1.00000,limit,,long_call_spread,0.52000000,1.00000
4AA340F0-62DC-4E1D-ABBD-0099507EAD97,NIO,2021-01-15,45.0000,call,sell,2020-12-31T19:02:51.082127Z,credit,1.00000,limit,,long_call_spread,0.52000000,1.00000
5e4173ae-1682-464a-a404-6dc009ade080,FB,2021-01-15,275.0000,call,buy,2020-12-31T16:54:43.773231Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
5e4173ae-1682-464a-a404-6dc009ade080,FB,2021-01-15,277.5000,call,sell,2020-12-31T16:54:43.773231Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
ACCF79F3-7C3B-446E-B770-544179975052,FB,2021-01-15,275.0000,call,buy,2020-12-31T15:53:46.381849Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
ACCF79F3-7C3B-446E-B770-544179975052,FB,2021-01-15,277.5000,call,sell,2020-12-31T15:53:46.381849Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
AFF0C6BD-2550-4200-934D-60E98D105A4A,FSLY,2021-01-08,96.0000,call,buy,2020-12-31T14:44:44.204084Z,credit,1.00000,limit,,long_call_spread,0.20000000,1.00000
AFF0C6BD-2550-4200-934D-60E98D105A4A,FSLY,2021-01-08,95.0000,call,sell,2020-12-31T14:44:44.204084Z,credit,1.00000,limit,,long_call_spread,0.20000000,1.00000
3E7445AF-21C3-4AFF-B7A6-833E1158A14D,DKNG,2021-01-08,46.5000,put,sell,2020-12-30T20:15:46.178300Z,credit,1.00000,limit,short_put,,1.00000000,1.00000
dabdb805-4c25-47db-8fea-bcfc15a34bda,FB,2020-12-31,275.0000,call,sell,2020-12-30T20:06:48.910543Z,credit,1.00000,limit,,long_call,0.87000000,1.00000
62c4c88d-918b-46fc-945f-575db82f94f3,MSFT,2021-01-08,232.5000,call,sell,2020-12-30T20:04:44.418010Z,credit,1.00000,limit,,long_call,0.42000000,1.00000
b27ef161-c2d7-42f1-8d30-4b42ca29f2d8,FB,2020-12-31,275.0000,call,buy,2020-12-30T19:33:09.089767Z,debit,1.00000,limit,long_call,,0.85000000,1.00000
ad913eda-13a1-44cd-854e-a5643226ba5a,ROKU,2020-12-31,350.0000,call,sell,2020-12-30T17:47:30.674416Z,credit,1.00000,limit,,long_call,0.60000000,1.00000
ed145a95-1a6c-42f5-97ac-9d293d1bdc60,MSFT,2021-01-08,232.5000,call,buy,2020-12-30T17:44:23.838676Z,debit,1.00000,limit,long_call,,0.57000000,1.00000
9fd86ebf-0521-4481-97a7-8734929ebbd9,DIS,2020-12-31,177.5000,put,sell,2020-12-30T17:42:25.249648Z,credit,1.00000,limit,,long_put,0.34000000,1.00000
ef801500-fe8d-4e4c-8ec8-b2897b91b755,ROKU,2020-12-31,345.0000,call,sell,2020-12-30T16:36:09.778209Z,credit,1.00000,limit,,long_call,0.93000000,1.00000
30E1380D-9180-4A8F-B868-2D5A596B9689,ROKU,2020-12-31,345.0000,call,buy,2020-12-30T15:36:38.515713Z,debit,1.00000,limit,long_call,,1.25000000,1.00000
328371CD-85F7-4F64-AD50-AAC98687D51D,BABA,2020-12-31,265.0000,call,sell,2020-12-30T15:12:32.026312Z,credit,1.00000,limit,,long_call,0.09000000,1.00000
62176468-D2CF-48EE-8FDC-264CFEF2F961,DIS,2020-12-31,177.5000,put,buy,2020-12-30T14:52:04.848908Z,debit,1.00000,limit,long_put,,0.24000000,1.00000
6E179BB0-3A95-457A-8CC6-32F98AFFF002,DKNG,2021-01-15,60.0000,call,buy,2020-12-29T18:41:53.309059Z,debit,1.00000,limit,long_call,,0.35000000,1.00000
413a60c8-791f-4b61-bf3b-4521d85ce027,CHWY,2020-12-31,95.0000,call,sell,2020-12-29T17:26:30.086076Z,credit,1.00000,limit,,long_call_spread,0.14000000,1.00000
413a60c8-791f-4b61-bf3b-4521d85ce027,CHWY,2020-12-31,96.5000,call,buy,2020-12-29T17:26:30.086076Z,credit,1.00000,limit,,long_call_spread,0.14000000,1.00000
33B32E48-1FF8-45EF-8153-334A58301E23,DKNG,2020-12-31,47.0000,put,sell,2020-12-29T16:11:24.730878Z,credit,1.00000,limit,short_put,,0.30000000,1.00000
71F7435D-62F2-44F5-A1E6-1C2E9A4A875D,NIO,2021-01-15,46.0000,call,sell,2020-12-29T14:54:37.737778Z,debit,1.00000,limit,long_call_spread,,0.40000000,1.00000
71F7435D-62F2-44F5-A1E6-1C2E9A4A875D,NIO,2021-01-15,45.0000,call,buy,2020-12-29T14:54:37.737778Z,debit,1.00000,limit,long_call_spread,,0.40000000,1.00000
1D191291-622A-473F-8761-E55D5C500A8A,ROKU,2020-12-31,350.0000,call,buy,2020-12-29T14:38:57.612577Z,debit,1.00000,limit,long_call,,3.55000000,1.00000
22F56BB4-EBD9-4762-B142-6F086DB5E927,BA,2021-01-15,220.0000,call,buy,2020-12-28T20:57:53.730800Z,debit,1.00000,limit,long_call_spread,,0.95000000,1.00000
22F56BB4-EBD9-4762-B142-6F086DB5E927,BA,2021-01-15,222.5000,call,sell,2020-12-28T20:57:53.730800Z,debit,1.00000,limit,long_call_spread,,0.95000000,1.00000
D7F25F38-7B27-48FA-BAC6-71BFA26351F8,CHWY,2020-12-31,95.0000,call,buy,2020-12-28T18:43:45.769592Z,debit,1.00000,limit,long_call_spread,,0.57000000,1.00000
D7F25F38-7B27-48FA-BAC6-71BFA26351F8,CHWY,2020-12-31,96.5000,call,sell,2020-12-28T18:43:45.769592Z,debit,1.00000,limit,long_call_spread,,0.57000000,1.00000
fc2a6c2f-2e38-4e19-90a1-bf67b0703786,PLTR,2021-01-08,29.0000,call,buy,2020-12-28T17:59:27.802281Z,debit,1.00000,limit,long_call,,0.74000000,1.00000
c221ec23-267c-4777-b11d-1b34572464cf,PLTR,2021-01-08,24.0000,put,sell,2020-12-28T17:52:31.978063Z,credit,1.00000,limit,short_put,,0.62000000,1.00000
6cb29617-5592-4a9f-91ad-4215fce6e43a,CRSR,2021-01-15,35.0000,put,sell,2020-12-28T16:38:05.543564Z,credit,1.00000,limit,short_put,,1.58000000,1.00000
B13FE8CC-4C7B-440F-9947-21C2ACED8980,AMZN,2020-12-31,3290.0000,call,sell,2020-12-28T16:02:13.248216Z,credit,1.00000,limit,,long_call_spread,1.40000000,1.00000
B13FE8CC-4C7B-440F-9947-21C2ACED8980,AMZN,2020-12-31,3300.0000,call,buy,2020-12-28T16:02:13.248216Z,credit,1.00000,limit,,long_call_spread,1.40000000,1.00000
403B5705-AC52-4D42-B5B7-A1D3787AD56C,FB,2020-12-31,267.5000,call,buy,2020-12-28T15:50:28.803107Z,credit,1.00000,limit,,long_call_spread,2.00000000,1.00000
403B5705-AC52-4D42-B5B7-A1D3787AD56C,FB,2020-12-31,265.0000,call,sell,2020-12-28T15:50:28.803107Z,credit,1.00000,limit,,long_call_spread,2.00000000,1.00000
63CE9FEE-ECE4-40F6-855F-338C7A51AF6A,AAPL,2021-01-22,126.0000,call,buy,2020-12-28T15:50:04.847312Z,credit,4.00000,limit,,long_call_spread,0.78000000,4.00000
63CE9FEE-ECE4-40F6-855F-338C7A51AF6A,AAPL,2021-01-22,125.0000,call,sell,2020-12-28T15:50:04.847312Z,credit,4.00000,limit,,long_call_spread,0.78000000,4.00000
C6CDBF3C-BF20-4AEA-A8AA-3A3105D096D4,JNPR,2020-12-31,23.0000,call,sell,2020-12-28T15:28:31.769484Z,credit,2.00000,limit,,long_call,0.34000000,2.00000
6AA63EF1-F4B0-4A3F-81CE-17296B82A1DF,PTON,2020-12-31,175.0000,call,sell,2020-12-28T15:19:47.970255Z,credit,3.00000,limit,,long_call,0.19000000,3.00000
D670D847-3112-44BE-8418-9C7CDE9FE1D7,PLTR,2021-01-22,40.0000,call,buy,2020-12-28T14:40:05.002111Z,debit,1.00000,limit,long_call,,0.48000000,1.00000
57CA480D-E0DC-405F-9AAC-E3EC0C05DFCB,FB,2020-12-31,267.5000,call,sell,2020-12-24T17:52:38.344679Z,debit,1.00000,limit,long_call_spread,,1.40000000,1.00000
